AV MANZANARES	Avenida del Manzanares
CL ANTONIO VICENT	Calle Antonio Vicent
CL CORONEL VALENZUELA	Calle Coronel Valenzuela
CL ENRIQUE MOYANO	Calle Enrique Moyano
CL FERMIN CABALLERO	Calle Fermin Caballero
CL FERNANDO DIAZ DE MENDOZA	Calle Fernando Díaz de Mendoza
CL FERNAN CABALLERO	Calle Fernán Caballero
CL GENERAL SERRANO ORIVE	Calle General Serrano Orive
CL INMACULADA CONCEPCION	Calle Inmaculada Concepción
CL JACINTO VERDAGUER	Calle Jacinto Verdaguer
CL JOAQUIN MTNEZ BORREGUERO	Calle Joaquín Martínez Borreguero
CL JOSE INZENGA	Calle José Inzenga
CL JUAN PEREZ ALMEIDA	Calle Juan Pérez Almeida
CL MARIA GUERRERO	Calle María Guerrero
CL PADRE OLTRA	Calle Padre Oltra
CL PEDRO YAGUE	Calle Pedro Yagüe
CL VICENTE MARTIN ARIAS	Calle Vicente Martín Arias
CL ANTONIO DE LEYVA	Calle de Antonio Leyva
CL ANTONIO LOPEZ	Calle de Antonio López
CL BALEARES	Calle de Baleares
CL EDUARDO MARQUINA	Calle de Eduardo Marquina
CL EDUARDO RIVAS	Calle de Eduardo Rivas
CL ESTEBAN DE ARTEAGA	Calle de Esteban de Arteaga
CL FUENLABRADA	Calle de Fuenlabrada
CL MIGUEL SORIANO	Calle de Miguel Soriano
CL ORGAZ	Calle de Orgaz
CL SAN DELFIN	Calle de San Delfín
CL TOMASA RUIZ	Calle de Tomasa Ruiz
CL TRIFON PEDRERO	Calle de Trifón Pedrero
CL ARLANZA	Calle del Arlanza
CL CONDE DE VISTAHERMOSA	Calle del Conde de Vistahermosa
CL GUADALETE	Calle del Guadalete
CL MARQUES DE JURA REAL	Calle del Marqués de Jura Real
CL PARADOR DEL SOL	Calle del Parador del Sol
CL SORBE	Calle del Sorbe
CL ZUJAR	Calle del Zújar
PJ MONTSERRAT	Pasaje Montserrat
PS SANTA MARIA DE LA CABEZA	Paseo de Santa María de la Cabeza
TR TRIFON PEDRERO	Travesía de Trifón Pedrero
